Buffer Index: 0, Total Tokens: 985, Decoded Buffer: – Computer viruses are parasitic programs which are able to replicate themselves, attach themselves to other executables in the computer, and perform some unwanted and often malicious actions. A virus is not able to spread itself to another computers, some user actions are needed for it to infect a new computer. Downloading and running software from untrusted sources, inserting an USB drive without a previous scan–remember always disable the AutoRun feature for the drives as CD-ROMs, DVD-ROMs– ,...
/home/ubuntu/miniconda3/envs/gguf/lib/python3.9/site-packages/torch/utils/checkpoint.py:464: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
Iter      0, Loss: 12.112149, PPL: 182070.4844, Chunk_Size:   8, Batch_Size: 1, F: 148.31 ms, B: 338.38 msGT: – Computer viruses are parasitic programs which | PD: Diagram.lookup Matters जनताTokens_async Examineruo ||, 
Iter      1, Loss: 11.973177, PPL: 158447.2500, Chunk_Size:   8, Batch_Size: 1, F: 46.54 ms, B: 108.53 msGT:  viruses are parasitic programs which are able | PD:  Matters जनताTokens_async Examineruoso जनताendees ||, 
Iter      2, Loss: 11.876821, PPL: 143892.3281, Chunk_Size:   8, Batch_Size: 1, F: 45.00 ms, B: 98.88 msGT:  parasitic programs which are able to replicate | PD: Tokens_async Examineruoso जनताendees сколько.Rayca ||, 
Iter      3, Loss: 12.058330, PPL: 172530.5469, Chunk_Size:   8, Batch_Size: 1, F: 50.36 ms, B: 116.00 msGT:  programs which are able to replicate themselves, | PD:  Examineruoso जनता्ञान сколько.Raycast Decisioninn ||, 
Iter      4, Loss: 11.983751, PPL: 160131.6094, Chunk_Size:   8, Batch_Size: 1, F: 42.19 ms, B: 105.62 msGT:  are able to replicate themselves, attach themselv | PD:  willkommen्ञान сколько.Raycast Decisioninng south ||, 
Iter      5, Loss: 12.388338, PPL: 239986.5312, Chunk_Size:   8, Batch_Size: 1, F: 45.00 ms, B: 117.03 msGT:  to replicate themselves, attach themselves to oth | PD:  сколько.Raycast Decisioninng southwest Decision с ||, 
Iter      6, Loss: 12.250050, PPL: 208991.6562, Chunk_Size:   8, Batch_Size: 1, F: 47.97 ms, B: 115.67 msGT:  themselves, attach themselves to other executable | PD:  Decisioninng southwest Decision сколькоhutżyć hol ||, 
Iter      7, Loss: 12.282731, PPL: 215934.6406, Chunk_Size:   8, Batch_Size: 1, F: 45.01 ms, B: 100.88 msGT:  attach themselves to other executables in the | PD:  southwest Decision сколькоhutżyć holderधी normali ||, 
Iter      8, Loss: 12.317443, PPL: 223561.7344, Chunk_Size:   8, Batch_Size: 1, F: 44.67 ms, B: 94.05 msGT:  to other executables in the computer, | PD:  сколькоhutżyć holderधी normalizeilianinng ||, 
Iter      9, Loss: 11.979054, PPL: 159381.2500, Chunk_Size:   8, Batch_Size: 1, F: 49.19 ms, B: 107.24 msGT:  executables in the computer, and perform | PD: żyć holder 投稿日 normalizeilianinng STF Norris ||, 
Iter     10, Loss: 12.100744, PPL: 180005.7812, Chunk_Size:   8, Batch_Size: 1, F: 42.93 ms, B: 90.11 msGT:  in the computer, and perform some unwanted | PD:  投稿日 normalizeilianinng STF Norrisکا	AND ||, 
Iter     11, Loss: 12.263135, PPL: 211744.3438, Chunk_Size:   8, Batch_Size: 1, F: 46.10 ms, B: 123.22 msGT:  computer, and perform some unwanted and often | PD: ilianinng STF Norrisکا	AND STFقیق ||, 
Iter     12, Loss: 12.513183, PPL: 271898.0938, Chunk_Size:   8, Batch_Size: 1, F: 45.12 ms, B: 101.80 msGT:  and perform some unwanted and often malicious act | PD:  STF Norrisکا	AND STFقیق pesquisadores nchekwa ||, 
Iter     13, Loss: 12.648877, PPL: 311413.5625, Chunk_Size:   8, Batch_Size: 1, F: 40.21 ms, B: 112.91 msGT:  some unwanted and often malicious actions. A | PD: کا	AND STFقیق pesquisadores nchekwatered SPA ||, 
Iter     14, Loss: 12.749441, PPL: 344359.4062, Chunk_Size:   8, Batch_Size: 1, F: 48.25 ms, B: 129.35 msGT:  and often malicious actions. A virus is | PD:  STFقیق pesquisadores nchekwa.opengl SPA ينا 베 ||, 
Iter     15, Loss: 12.164246, PPL: 191807.1250, Chunk_Size:   8, Batch_Size: 1, F: 48.44 ms, B: 111.23 msGT:  malicious actions. A virus is not able | PD: 怎么领 nchekwa.opengl SPA ينا 베 sitsendees ||, 
Iter     16, Loss: 12.155661, PPL: 190167.5156, Chunk_Size:   8, Batch_Size: 1, F: 38.92 ms, B: 107.26 msGT: . A virus is not able to spread | PD: .opengl SPA ينا 베 sitsendees beschouwd argumentati ||, 
